chain_id,day,user_id,length,score_mean,score_min
36437,1,3878985,2,0.8329,0.8329
36438,0,637831,2,0.825,0.825
36438,1,2013234,2,0.825,0.825
36439,0,1162119,2,0.8227,0.8227
36439,1,4012267,2,0.8227,0.8227
36440,0,1555337,2,0.6898,0.6898
36440,1,4430450,2,0.6898,0.6898
36441,0,1162121,2,0.6547,0.6547
36441,1,1651607,2,0.6547,0.6547
36442,0,2210702,2,0.6532,0.6532
36442,1,3740859,2,0.6532,0.6532
36443,0,768911,2,0.8285,0.8285
36443,1,2035294,2,0.8285,0.8285
36444,0,113555,2,0.9476,0.9476
36444,1,3947222,2,0.9476,0.9476
36445,0,768916,2,0.9618,0.9618
36445,1,2124650,2,0.9618,0.9618
36446,0,506776,2,0.7917,0.7917
36446,1,4312657,2,0.7917,0.7917
36447,0,113561,2,0.8573,0.8573
36447,1,3995531,2,0.8573,0.8573
36448,0,1686426,2,0.6543,0.6543
36448,1,4729472,2,0.6543,0.6543
36449,0,1162137,2,0.7199,0.7199
36449,1,1770846,2,0.7199,0.7199
36450,0,637852,2,0.8911,0.8911
36450,1,3681985,2,0.8911,0.8911
36451,0,244643,2,0.9417,0.9417
36451,1,4309158,2,0.9417,0.9417
36452,0,1948580,2,0.6661,0.6661
36452,1,4022594,2,0.6661,0.6661
36453,0,637859,2,0.8417,0.8417
36453,1,2140624,2,0.8417,0.8417
36454,0,244648,2,0.8491,0.8491
36454,1,4357599,2,0.8491,0.8491
36455,0,506803,2,0.8936,0.8936
36455,1,3971377,2,0.8936,0.8936
36456,0,637881,2,0.8185,0.8185
36456,1,3929473,2,0.8185,0.8185
36457,0,1293244,2,0.6658,0.6658
36457,1,4799427,2,0.6658,0.6658
36458,0,244672,2,0.8984,0.8984
36458,1,1811094,2,0.8984,0.8984
36459,0,1424325,2,0.6615,0.6615
36459,1,4343979,2,0.6615,0.6615
36460,0,637895,2,0.7833,0.7833
36460,1,3798987,2,0.7833,0.7833
36461,0,768967,2,0.8634,0.8634
36461,1,1641232,2,0.8634,0.8634
36462,0,900046,2,0.8831,0.8831
36462,1,3794367,2,0.8831,0.8831
36463,0,768979,2,0.7987,0.7987
36463,1,1618075,2,0.7987,0.7987
36464,0,113627,2,0.9346,0.9346
36464,1,1892746,2,0.9346,0.9346
36465,0,506843,2,0.8957,0.8957
36465,1,3589924,2,0.8957,0.8957
36466,0,375773,2,0.849,0.849
36466,1,6405119,2,0.849,0.849
36467,0,244704,2,0.6633,0.6633
36467,1,2081805,2,0.6633,0.6633
36468,0,375776,2,0.8597,0.8597
36468,1,3134624,2,0.8597,0.8597
36469,0,768994,2,0.9054,0.9054
36469,1,3176075,2,0.9054,0.9054
36470,0,244706,2,0.8545,0.8545
36470,1,2045689,2,0.8545,0.8545
36471,0,637922,2,0.8527,0.8527
36471,1,6723779,2,0.8527,0.8527
36472,0,769000,2,0.9268,0.9268
36472,1,4109030,2,0.9268,0.9268
36473,0,113640,2,0.6583,0.6583
36473,1,3029908,2,0.6583,0.6583
36474,0,1293288,2,0.7142,0.7142
36474,1,2045358,2,0.7142,0.7142
36475,0,113646,2,0.9301,0.9301
36475,1,2040141,2,0.9301,0.9301
36476,0,244718,2,0.6823,0.6823
36476,1,2029577,2,0.6823,0.6823
36477,0,113647,2,0.975,0.975
36477,1,3594015,2,0.975,0.975
36478,0,244723,2,0.8802,0.8802
