X,Y,cellid,lat,lon,PosXcd_142,PosYcd_142
-843606.154507747,-1003403.55810182,VKVYOC102,50.307360000000003,12.943500999999999,-843606,-1003404
-857276.35927712,-1020354.08525154,BSOHOS2,50.137560000000001,12.791579000000000,-857276,-1020354
-849918.84626857,-1011228.57433722,DKVTGM2,50.228996000000002,12.873206000000000,-849919,-1011229
-850294.262843696,-1010237.35323499,BKVPAN1,50.237268000000000,12.865829000000000,-850294,-1010237
-851422.554985051,-1009960.05147717,BKVUKO3,50.238137000000002,12.849598000000000,-851423,-1009960
-849918.84626857,-1011228.57433722,UKVTGM104,50.228996000000002,12.873206000000000,-849919,-1011229
-843907.43540837,-999600.650801944,BKVHOZ2,50.340710000000001,12.930990000000000,-843907,-999601
-852461.73702798,-1009462.42989048,BKVDVO3,50.241086000000003,12.834114000000000,-852462,-1009462
-848630.360013611,-1002161.13991663,BKVHRO0,50.311328000000003,12.871104000000001,-848630,-1002161
-854706.559863812,-1011615.61000341,UKVGLO102,50.218789000000001,12.807798000000000,-854707,-1011616
-874046.851812964,-996249.452926771,BSOKRA3,50.327395000000003,12.505530000000000,-874047,-996249
-857411.181210369,-999779.151515633,VKVYNP101,50.320023999999997,12.744078000000000,-857411,-999779
-858610.190517281,-1008909.02012555,VSOYCH103,50.237268000000000,12.747776999999999,-858610,-1008909
-843502.162686548,-1004389.69161818,VKVYOT101,50.298748000000003,12.947101000000000,-843502,-1004390
-860973.274723,-1008368.6612917,BSOVIN1,50.238692000000000,12.713868000000000,-860973,-1008369
-849644.874194732,-1011642.02328817,UKVSAD102,50.225710999999997,12.877907000000000,-849645,-1011642
-843606.154507747,-1003403.55810182,VKVYOC101,50.307360000000003,12.943500999999999,-843606,-1003404
-848645.380294143,-1014039.66343977,BKVVIV2,50.205827999999997,12.897002000000001,-848645,-1014040
-849732.95036947,-1012321.08102488,UKVPUP109,50.219557000000002,12.878180000000000,-849733,-1012321
-867337.790644653,-1017688.13724096,BSOBRE4,50.146850999999998,12.646679000000001,-867338,-1017688
-860973.274723,-1008368.6612917,BSOVIN2,50.238692000000000,12.713868000000000,-860973,-1008369
-844391.063438546,-1007661.42700494,BKVBOR3,50.268445999999997,12.941938000000000,-844391,-1007661
-858916.868156726,-1008195.93090824,VSOYCS103,50.243161000000001,12.741947000000000,-858917,-1008196
-855110.842396674,-1032028.48513011,BKVTIS4,50.036974000000001,12.847167000000001,-855111,-1032028
-853606.931486936,-1011103.06888632,UKVTES101,50.224898000000003,12.821883000000000,-853607,-1011103
-843536.948142994,-997108.459028148,VKVYJM104,50.363362000000002,12.930666000000000,-843537,-997108
-849241.900686844,-1011643.9296669,BKVNAV4,50.226261999999998,12.883489000000001,-849242,-1011644
